Sample	command
COPE-0477.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0477.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0477.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0477.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0477.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0477.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0477.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0477.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0477.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0477.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0478.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0478.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0478.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0478.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0478.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0478.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0478.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0478.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0478.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0478.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0479.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0479.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0479.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0479.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0479.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0479.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0479.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0479.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0479.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0479.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0480.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0480.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0480.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0480.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0480.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0480.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0480.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0480.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0480.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0480.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0481.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0481.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0481.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0481.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0481.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0481.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0481.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0481.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0481.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0481.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0482.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0482.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0482.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0482.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0482.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0482.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0482.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0482.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0482.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0482.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0483.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0483.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0483.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0483.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0483.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0483.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0483.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0483.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0483.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0483.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0484.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0484.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0484.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0484.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0484.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0484.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0484.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0484.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0484.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0484.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0485.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0485.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0485.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0485.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0485.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0485.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0485.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0485.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0485.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0485.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0486.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0486.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0486.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0486.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0486.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0486.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0486.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0486.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0486.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0486.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0487.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0487.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0487.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0487.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0487.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0487.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0487.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0487.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0487.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0487.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0488.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0488.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0488.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0488.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0488.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0488.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0488.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0488.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0488.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0488.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0489.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0489.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0489.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0489.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0489.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0489.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0489.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0489.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0489.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0489.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0490.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0490.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0490.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0490.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0490.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0490.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0490.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0490.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0490.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0490.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0491.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0491.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0491.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0491.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0491.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0491.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0491.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0491.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0491.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0491.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0492.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0492.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0492.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0492.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0492.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0492.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0492.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0492.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0492.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0492.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0493.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0493.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0493.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0493.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0493.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0493.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0493.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0493.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0493.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0493.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
